review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
79,5,아직 설치는 못했는데 레드 예뻐요,roma****,16.02.22.,0,CD/DVD장,수납가구
,,,,,,,
80,5,"생각했던 딱 그대로 너무좋아요!!!
저렴하고 빠른배송 감사해요~^^

생각했던 딱 그대로 너무좋아요!!!
저렴하고 빠른배송 감사해요~^^

생각했던 딱 그대로 너무좋아요!!!


",bedb****,15.12.15.,0,CD/DVD장,수납가구
,,,,,,,
81,5,깔끔하고 군더더기없네요,froo****,15.10.09.,0,CD/DVD장,수납가구
,,,,,,,
82,5,아주 훈늉해여,xxlo****,15.03.28.,0,CD/DVD장,수납가구
,,,,,,,
review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
,,,,,,,
1,3,"장식 효과 좋아요.
씨디빼고 넣고 할땐 조금 불편해요",cya1****,20.05.12.,4,CD/DVD장,수납가구
,,,,,,,
2,5,"색감도 예쁘고 디자인도 예뻐요^^
품질도 너믄 좋아요.
잘 쓰겠습니다 ♡♡",sobi****,19.12.21.,4,CD/DVD장,수납가구
