"review_no","star","review","customerId","reviewDate","pd_no","librarycate_no","category_no"
"25","3","흠 일단 디자인은 마음에 들어요
쿠션감도 원했던 정도이고 등받이도 짱짱해요
그런데 조립 하다보니 팔걸이 쪽 나사구멍이 나사에 비해 작아요 .. 아무리 힘줘서 돌려도 더 들어가지가 않네요
고객센터 연락해보니 사진 보내달라고 하셔서 보내드렸는데 아직 답변이 따로 없으시네요
나사가 큰건지 구멍이 작은건지 ... 저렇게 일부만 끼고 사용해야하나요 ㅎㅎ;","hrrh****","21.02.26.","0","의자","서재/사무용가구"
"26","5","이사 하면서 새로 꾸민딸방~
자꾸만  그레이 +화이트 를 강조하고 또 강조!
하~ 아니~ ""니가 감당이 되것니?""
  엄마님들은 아실듯 단색이 물한방울  떨어지믄 어떤 꼴이 나는지... 패브릭이...아진짜..
깔끔 허지도 못한 것이....
그래서 이불은 ㅋㅋㅋ 어차피 알러지 케어제품이라 제 마음대로~
사실 그레이도 사긴 했쥬...숨겨 놨지만.
 눈 돌아갈듯한 폭풍 검색!
그리고 가격 디쟈인 제가 딱 원하던 웜톤의  색감 !  후기를 정독하고 
 바로 주문 배송은또 어찌나 빠른지
조립도 뭐 이걸 조립이라 해야 하는지~
저도 딸도 모두 만족하고 온가족이 한번씩 앉아 보고 끌어보고 ㅋ
  탐나요... ㅠ.ㅠ 저는 원목의자 쓰는데 
궁댕이 못배기는 느낌... 
한번만 앉아보자면 지×ㅈ× 해서... 
치사해서 명절 지나고 남푠이가 사준데서 
후기쓰러 왔어요. 적립금 쌓아 놨다가 써야쥬.
 아참~ 고민되믄 사세요~ 어디서 봤는데 고민해 봤자 배송만 늦어진다고~^^","dlru****","21.02.05.","0","의자","서재/사무용가구"
"27","5","예쁘고 편해요 생각보다 좋은데 간단 설명서 하나 있으면 좋을거같아요","dlwo****","21.04.05.","0","의자","서재/사무용가구"
"28","5","빠르게 배송해주셨고 조립도수월했어요
화면과 똑같은 디자인이고 색상도 같아요
컴퓨터책상의자로 구매한건데 집에두기 딱 좋아요
아담하고 자리차지많이 안해서 넘 마음에 듭니당","iid1****","21.03.22.","0","의자","서재/사무용가구"
"29","4","제품화면상 패브릭부분이 그레이로 보였지만 실제론 카키색이 섞인 그레이톤입니다. 프레임은 연그레이빛으로 안정감도 있어 보이고 깔끔합니다.
성인이 앉아도 무난하게 견고하고
바닥 푹신함도 적당해요","vivi****","21.03.21.","0","의자","서재/사무용가구"
"30","5","착좌감 좋습니다. 전에 쓰던 의자는 허리를 뒤로 밀면 잡음이 많았는데, 소음이 전혀 없네요. 단단한 느낌입니다. 마룻바닥인데 바퀴에서도 소음이 거의 없는 것 같습니다. 만족합니다.","newa****","21.03.25.","0","의자","서재/사무용가구"
"31","5","꽤 묵직해서 놀랏는데, 바퀴 달린 맨 아래 발이 묵직해서 넘어가지 않을 것 같아 안정감있네요. 
의자 등받이 뒤로 많이 넘어가는거 불안해서 별로 안좋아하는데 이거 넘어가는것도 특이하고 안정적인 느낌이에요. 
하나 더 살까 고민중이에요 ㅋㅋ 
잘 쓰겠습니다!","llll****","21.03.20.","0","의자","서재/사무용가구"
"32","5","같이 주문했는데 배송이 따로따로 어제와 오늘ㅋ
우선 조립하긴 별 어려움은 없었어요.
색상도 크기도 맘에 들어요.
7살 아이가 직접골라서 그런지 맘에 들어하네요^^","ange****","21.03.25.","0","의자","서재/사무용가구"
"33","5","같이 주문했는데 배송이 따로따로 어제와 오늘ㅋ
우선 조립하긴 별 어려움은 없었어요.
색상도 크기도 맘에 들어요.
초4  고학년 아이가 쓰기에  무난해요^^","ange****","21.03.25.","0","의자","서재/사무용가구"
"34","5","너무 좋아요 ㅠㅜ 이만큼 평 괜찮고 디자인 예쁜 의자 찾기가 진짜 너무 어려웠는데 하늘의 별처럼 갑자기 제 눈앞에 나타나서 제가 홀린듯 바로 결제했어요.. 계속 식탁의자 두고 공부했는데 진심으로 허리 부러질 거 같았거든요 ㅠㅜ 아부지가 의자 설치하고 제가 드디어 앉았는데 여기가 천국인가 싶었어요 생각보다 회색에 카키빛이 많이 돌아요! 아그냥모르겠고 너무 맘에 들어요ㅜㅜ 조립은 이런거 잘 하시는 아빠가 하셔서 큰 문제없이 잘 조립되어서 큰 문제는 없었던거같아요 의자 잘쓸게요 ㅜㅜ 마니파세요 최고예욤 ㅠㅜㅜ","lljy****","21.03.05.","0","의자","서재/사무용가구"
