review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
42,5,"오늘 저녁에 오셨어요~ 현관 들어오지 않으시고 복도에서 조립하시곤 들어와서 마무리 해주시네요~

사진으론 실물보다 안이쁘게 나왔는데
크고 웅장하고 서랍장도 부드럽게 잘열리구요~
아직 이사전이라 먼저 새가구 들여놓은건데
빈방이였다가 역시 가구가 하나라도 들어오니 역시 틀리네요

엄마가 무조건 브라운으로 원하셨고
사진으로 설치된것만 보셨지만 맘에 들어하셨어요.
유리는 꼭하시길 없음 후회들 하니까요^^",mina****,21.01.26.,1,서랍장,침실가구
,,,,,,,
43,5,"이뻐요 근데 집에 1층짜 계단 있다고 3만원 받으시네요
아무리 저렴해도 기분이 별로네요
가격 저렴한데 넘넘 이쁘고 좋아요",yms5****,21.02.09.,1,서랍장,침실가구
,,,,,,,
44,4,마감처리가 완전 깨끗한 것은 아니지만 예쁘고 수납력 좋아요!,ekdu****,21.02.11.,1,서랍장,침실가구
,,,,,,,
45,5,실물이 더 예쁘네요 서랍레일도 좋고 깔끔합니다 배송기사님들도 친절하셨어요,yam7****,21.02.18.,1,서랍장,침실가구
,,,,,,,
46,5,희망 배송일에 맞춰서 좋은 물건 보내주셔서 감사합니다^^,jhpa****,21.02.22.,1,서랍장,침실가구
,,,,,,,
47,5,희망 배송일에 맞춰서 좋은 물건 보내주셔서 감사합니다^^,jhpa****,21.02.22.,1,서랍장,침실가구
,,,,,,,
48,3,"디자인은 맘에 들고 이쁘나 미라지 브랜드 보고 주문하면 실망할듯 자세히 보면페인트 자국과 가구의 전체적인 마감이 아쉽네요.
배송기간이 너무 오래 걸려서 힘들었지만 배송기사님들이 친절히 설치해주시고 가셨네요~^^",clla****,21.01.29.,1,서랍장,침실가구
,,,,,,,
49,5,차분하고 싶게 질리지않고  오래 쓸수 있을듯,mkan****,21.03.10.,1,서랍장,침실가구
,,,,,,,
50,3,제품이 예쁘고 집안 분위기와 잘 어울려서 만족합니다. 배송도 제 날짜에 왔으나 입주 청소를 다해놓은 상태였는데 배송 기사분이 신발을 신고 들어와서 발자국을 다 내놓고 가셨네요... 사전에 신발 벗고 들어가라는 얘기를 안했지만 이사 전에 청소 다 해놓은 상태에서 발자국이 나있으니 기분이 나빴습니다. 제품은 만족합니다.,kro3****,21.01.20.,1,서랍장,침실가구
,,,,,,,
